id,title,short_title,deity,moments,intentions,time_contexts,duration_seconds,rotation_policy,available_modes,primary_script,primary_text,transliteration,meaning,source_title,source_note,regional_note,reviewer_name,review_status,needs_review,audio_status,audio_asset_name,timing_status,tags,sort_order
hanuman-manojavam,Manojavam Marutatulyavegam,Manojavam Marutatulyavegam,hanuman,travel;protection;anxiety,courage;protection,morning,30,rotateOften,listen;chant;silent,devanagari,"मनोजवं मारुततुल्यवेगं जितेन्द्रियं बुद्धिमतां वरिष्ठम्।
वातात्मजं वानरयूथमुख्यं श्रीरामदूतं शरणं प्रपद्ये॥","Manojavaṃ mārutatulyavegaṃ jitendriyaṃ buddhimatāṃ variṣṭham,
vātātmajaṃ vānarayūthamukhyaṃ śrīrāmadūtaṃ śaraṇaṃ prapadye.","Swift as thought, fleet as the wind, master of the senses, wisest of the wise — to the son of the wind, Rama's messenger, I take refuge.",Hanuman dhyāna śloka (Sundarakāṇḍa tradition),,,seed,reviewed,false,none,,estimated,,11
saraswati-aim,Om Aim Saraswatyai Namah,Aim Saraswatyai,saraswati,study;meeting;beforeWork,clarity;wisdom;focus,morning;midday,15,rotateOften,listen;chant;silent,devanagari,ॐ ऐं सरस्वत्यै नमः,Oṃ Aiṃ Sarasvatyai Namaḥ,"Salutations to Saraswati, goddess of speech and learning. A bija invocation for clear thought.",Sarasvatī bija mantra (traditional),,,seed,reviewed,false,recorded,saraswati-aim,estimated,,12
lakshmi-shrim,Om Shreem Mahalakshmyai Namah,Shreem Mahalakshmyai,lakshmi,beforeWork;gratitude,prosperity;gratitude,morning;midday,15,rotateOften,listen;chant;silent,devanagari,ॐ श्रीं महालक्ष्म्यै नमः,Oṃ Śrīṃ Mahālakṣmyai Namaḥ,"Salutations to Mahalakshmi, source of abundance and grace. A bija invocation for steady well-being.",Lakṣmī bija mantra (traditional),,,seed,reviewed,false,recorded,lakshmi-shrim,estimated,,13
devi-dum,Om Dum Durgayai Namah,Dum Durgayai,devi,protection;anxiety;leavingHome,protection;courage,dawn;morning;night,15,rotateOften,listen;chant;silent,devanagari,ॐ दुं दुर्गायै नमः,Oṃ Duṃ Durgāyai Namaḥ,"Salutations to Durga, the fierce and guarding mother. A bija invocation for protection.",Durgā bija mantra (traditional),,,seed,reviewed,false,recorded,devi-dum,estimated,,14
devi-navarna,Navarna Mantra,Navarna Mantra,devi,protection;anxiety,protection;courage;devotion,dawn;night,20,occasional,listen;chant;silent,devanagari,ॐ ऐं ह्रीं क्लीं चामुण्डायै विच्चे,Oṃ Aiṃ Hrīṃ Klīṃ Cāmuṇḍāyai Vicce,"The nine-syllable mantra of the Devi, invoking her threefold power of will, knowledge, and action.",Navārṇa mantra (Devī Māhātmya / Chaṇḍī tradition),,,seed,reviewed,false,recorded,devi-navarna,estimated,,15
surya-gayatri,Gayatri Mantra,Gayatri Mantra,surya,dawn;study,clarity;wisdom;devotion,dawn,28,dailyAnchor,listen;chant;silent,devanagari,"ॐ भूर्भुवः स्वः।
तत्सवितुर्वरेण्यं भर्गो देवस्य धीमहि।
धियो यो नः प्रचोदयात्॥","Oṃ bhūr bhuvaḥ svaḥ,
tat savitur vareṇyaṃ bhargo devasya dhīmahi,
dhiyo yo naḥ pracodayāt.",We meditate on the radiant glory of the divine Savitr (the sun); may it illumine our minds.,Ṛgveda 3.62.10 (Gāyatrī mantra),,,seed,reviewed,false,recorded,surya-gayatri,estimated,,16
surya-namah,Om Suryaya Namah,Suryaya,surya,dawn;leavingHome,clarity;courage,dawn;morning,12,rotateOften,listen;chant;silent,devanagari,ॐ सूर्याय नमः,Oṃ Sūryāya Namaḥ,"Salutations to Surya, the sun. A bow to light at the start of the day.",Traditional Sūrya namaḥ mantra,,,seed,reviewed,false,recorded,surya-namah,estimated,,17
shanti-triple,Om Shanti Shanti Shanti,Shanti Shanti Shanti,,sleep;anxiety;sunset,peace,sunset;night,20,dailyAnchor,listen;chant;silent,devanagari,ॐ शान्तिः शान्तिः शान्तिः,Oṃ Śāntiḥ Śāntiḥ Śāntiḥ,"Peace, peace, peace — invoked threefold for body, mind, and spirit.",Śānti mantra (Upaniṣadic peace invocation),,,seed,reviewed,false,recorded,shanti-triple,estimated,,18
shanti-asato-ma,Asato Ma Sad Gamaya,Asato Ma Sad Gamaya,,dawn;anxiety;study,clarity;peace;wisdom,dawn;night,26,rotateOften,listen;chant;silent,devanagari,"असतो मा सद्गमय।
तमसो मा ज्योतिर्गमय।
मृत्योर्मा अमृतं गमय॥","Asato mā sad gamaya,
tamaso mā jyotir gamaya,
mṛtyor mā amṛtaṃ gamaya.","Lead me from the unreal to the real, from darkness to light, from death to immortality.",Bṛhadāraṇyaka Upaniṣad 1.3.28,,,seed,reviewed,false,recorded,shanti-asato-ma,estimated,,19
shanti-sarve-bhavantu,Sarve Bhavantu Sukhinah,Sarve Bhavantu Sukhinah,,gratitude;sunset,peace;gratitude,sunset;morning,22,rotateOften,listen;chant;silent,devanagari,"सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः।
सर्वे भद्राणि पश्यन्तु मा कश्चिद्दुःखभाग्भवेत्॥","Sarve bhavantu sukhinaḥ sarve santu nirāmayāḥ,
sarve bhadrāṇi paśyantu mā kaścid duḥkhabhāg bhavet.","May all be happy, may all be free from illness, may all see what is good, may none suffer.",Śānti mantra (traditional Upaniṣadic invocation),,,seed,reviewed,false,recorded,shanti-sarve-bhavantu,estimated,,20
shanti-lokah-samastah,Lokah Samastah Sukhino Bhavantu,Lokah Samastah Sukhino Bhavantu,,gratitude;sunset;sleep,peace;gratitude,sunset;night,15,dailyAnchor,listen;chant;silent,devanagari,लोकाः समस्ताः सुखिनो भवन्तु,Lokāḥ samastāḥ sukhino bhavantu,May all beings everywhere be happy and free. A closing wish of goodwill.,Traditional śānti / maṅgala invocation,,,seed,reviewed,false,recorded,shanti-lokah-samastah,estimated,,21
shanti-saha-navavatu,Om Saha Navavatu,Saha Navavatu,,study;meeting;beforeWork,clarity;focus;peace,morning;midday,25,rotateOften,listen;chant;silent,devanagari,"ॐ सह नाववतु। सह नौ भुनक्तु।
सह वीर्यं करवावहै।
तेजस्वि नावधीतमस्तु मा विद्विषावहै॥","Oṃ saha nāv avatu, saha nau bhunaktu,
saha vīryaṃ karavāvahai,
tejasvi nāv adhītam astu mā vidviṣāvahai.","May we be protected together, nourished together; may we work together with vigour; may our study be radiant; may we not quarrel.",Taittirīya & Kaṭha Upaniṣad śānti mantra,,,seed,reviewed,false,recorded,shanti-saha-navavatu,estimated,,22
